timestamp,open,high,low,close
2015-01-09 09:15:00+05:30,18845.9,18845.9,18801.7,18801.7
2015-01-09 09:16:00+05:30,18801.7,18806.05,18790.2,18794.65
2015-01-09 09:17:00+05:30,18796,18829,18794.65,18827.3
2015-01-09 09:18:00+05:30,18827.3,18864,18827.3,18862.1
2015-01-09 09:19:00+05:30,18862.1,18862.1,18843.55,18849.25
2015-01-09 09:20:00+05:30,18849.25,18853.3,18841.4,18850.7
2015-01-09 09:21:00+05:30,18846.6,18859.65,18846.6,18859.65
2015-01-09 09:22:00+05:30,18859.65,18859.65,18840.8,18840.8
2015-01-09 09:23:00+05:30,18840.8,18840.8,18829.8,18831.95
2015-01-09 09:24:00+05:30,18831.95,18847,18831.95,18847
2015-01-09 09:25:00+05:30,18847,18850.15,18811.1,18815
2015-01-09 09:26:00+05:30,18815,18820.45,18810.4,18812.3
2015-01-09 09:27:00+05:30,18812.3,18816.95,18799.4,18816.95
2015-01-09 09:28:00+05:30,18816.95,18822.6,18809.45,18817.6
2015-01-09 09:29:00+05:30,18817.6,18817.8,18811.95,18815.15
2015-01-09 09:30:00+05:30,18815.15,18821.4,18796.65,18796.65
2015-01-09 09:31:00+05:30,18803.45,18806.7,18796.65,18800.5
2015-01-09 09:32:00+05:30,18800.5,18804.45,18772.9,18780.05
2015-01-09 09:33:00+05:30,18780.05,18795.3,18780.05,18791.05
2015-01-09 09:34:00+05:30,18788.55,18813.5,18787.55,18810.7
2015-01-09 09:35:00+05:30,18810.7,18811.95,18792.8,18792.8
2015-01-09 09:36:00+05:30,18792.8,18806.9,18792.8,18801.8
2015-01-09 09:37:00+05:30,18798.05,18803.1,18788.55,18792.25
2015-01-09 09:38:00+05:30,18792.25,18801.9,18792.25,18798.35
2015-01-09 09:39:00+05:30,18801.5,18805.75,18798.35,18800.05
2015-01-09 09:40:00+05:30,18800.05,18812,18800.05,18808.8
2015-01-09 09:41:00+05:30,18808.8,18814.25,18805.6,18806.95
2015-01-09 09:42:00+05:30,18804.6,18809.8,18772.4,18772.4
2015-01-09 09:43:00+05:30,18772.4,18777.85,18763.05,18763.05
2015-01-09 09:44:00+05:30,18763.05,18772.7,18758.5,18771.6
2015-01-09 09:45:00+05:30,18774.15,18780.8,18761.5,18768.9
2015-01-09 09:46:00+05:30,18768.9,18776.2,18765.1,18776.2
2015-01-09 09:47:00+05:30,18776.2,18776.2,18764.75,18764.75
